市外局番,都道府県
09913,鹿児島県
09912,鹿児島県
09802,沖縄県
09496,福岡県
08636,岡山県
08514,島根県
08512,島根県
08477,広島県
08396,山口県
08388,山口県
08387,山口県
07468,奈良県
05979,三重県
05769,岐阜県
04998,東京都
04996,東京都
04994,東京都
04992,東京都
01658,北海道
01656,北海道
01655,北海道
01654,北海道
01648,北海道
01635,北海道
01634,北海道
01632,北海道
01587,北海道
01586,北海道
01564,北海道
01558,北海道
01547,北海道
01466,北海道
01457,北海道
01456,北海道
01398,北海道
01397,北海道
01392,北海道
01377,北海道
01374,北海道
01372,北海道
01267,北海道
0997,鹿児島県
0996,鹿児島県
0995,鹿児島県
0994,鹿児島県
0993,鹿児島県
0987,宮崎県
0986,宮崎県
0985,宮崎県
0984,宮崎県
0983,宮崎県
0982,宮崎県
0980,沖縄県
0979,大分県
0978,大分県
0977,大分県
0974,大分県
0973,大分県
0972,大分県
0969,熊本県
0968,熊本県
0967,熊本県
0966,熊本県
0965,熊本県
0964,熊本県
0959,長崎県
0957,長崎県
0956,長崎県
0955,佐賀県
0954,佐賀県
0952,佐賀県
0950,長崎県
0949,福岡県
0948,福岡県
0947,福岡県
0946,福岡県
0944,福岡県
0943,福岡県
0942,福岡県
0940,福岡県
0930,福岡県
0920,長崎県
0898,愛媛県
0897,愛媛県
0896,愛媛県
0895,愛媛県
0894,愛媛県
0893,愛媛県
0892,愛媛県
0889,高知県
0887,高知県
0885,徳島県
0884,徳島県
0883,徳島県
0880,高知県
0879,香川県
0877,香川県
0875,香川県
0869,岡山県
0868,岡山県
0867,岡山県
0866,岡山県
0865,岡山県
0863,岡山県
0859,鳥取県
0858,鳥取県
0857,鳥取県
0856,島根県
0855,島根県
0854,島根県
0853,島根県
0852,島根県
0848,広島県
0847,広島県
0846,広島県
0845,広島県
0838,山口県
0837,山口県
0836,山口県
0835,山口県
0834,山口県
0833,山口県
0832,山口県
0829,広島県
0827,広島県
0826,広島県
0824,広島県
0823,広島県
0820,山口県
0799,兵庫県
0798,兵庫県
0797,兵庫県
0796,兵庫県
0795,兵庫県
0794,兵庫県
0791,兵庫県
0790,兵庫県
0779,福井県
0778,福井県
0776,福井県
0774,京都府
0773,京都府
0772,京都府
0771,京都府
0770,福井県
0768,石川県
0767,石川県
0766,富山県
0765,富山県
0763,富山県
0761,石川県
0749,滋賀県
0748,滋賀県
0747,奈良県
0746,奈良県
0745,奈良県
0744,奈良県
0743,奈良県
0742,奈良県
0740,滋賀県
0739,和歌山県
0738,和歌山県
0737,和歌山県
0736,和歌山県
0735,和歌山県
0725,大阪府
0721,大阪府
0599,三重県
0598,三重県
0597,三重県
0596,三重県
0595,三重県
0594,三重県
0587,愛知県
0586,愛知県
0585,岐阜県
0584,岐阜県
0581,岐阜県
0578,岐阜県
0577,岐阜県
0576,岐阜県
0575,岐阜県
0574,岐阜県
0573,岐阜県
0572,岐阜県
0569,愛知県
0568,愛知県
0567,愛知県
0566,愛知県
0565,愛知県
0564,愛知県
0563,愛知県
0562,愛知県
0561,愛知県
0558,静岡県
0557,静岡県
0556,山梨県
0555,山梨県
0554,山梨県
0553,山梨県
0551,山梨県
0550,静岡県
0548,静岡県
